"date","count"
2021-01-01,18853
2021-01-02,41328
2021-01-03,14609
2021-01-04,36864
2021-01-05,38638
2021-01-06,38013
2021-01-07,38044
2021-01-08,37266
2021-01-09,34715
2021-01-10,35456
2021-01-11,36163
2021-01-12,42409
2021-01-13,42570
2021-01-14,47961
2021-01-15,40561
2021-01-16,41277
2021-01-17,38990
2021-01-18,42835
2021-01-19,40649
2021-01-20,36312
2021-01-21,40971
2021-01-22,44118
2021-01-23,32207
2021-01-24,27450
2021-01-25,36117
2021-01-26,27461
2021-01-27,39042
2021-01-28,34200
2021-01-29,23664
2021-01-30,27450
2021-01-31,21782
2021-02-01,241
2021-02-03,6392
2021-02-04,18473
2021-02-05,23962
2021-02-06,30668
2021-02-07,8146
2021-02-08,18068
2021-02-09,22016
2021-02-10,27886
2021-02-11,22461
2021-02-12,25409
2021-02-13,22631
2021-02-14,22977
2021-02-15,22989
2021-02-16,30322
2021-02-17,30177
2021-02-18,7493
2021-02-19,11815
2021-02-20,24519
2021-02-21,25861
2021-02-22,19127
2021-02-23,32747
2021-02-24,45127
2021-02-25,42619
2021-02-26,43605
2021-02-27,30168
2021-02-28,20860
2021-03-01,33796
2021-03-02,31361
2021-03-03,49059
2021-03-04,39403
2021-03-05,35606
2021-03-06,32745
2021-03-07,34620
2021-03-08,37699
2021-03-09,59011
2021-03-10,53717
2021-03-11,67001
2021-03-12,68087
2021-03-13,52491
2021-03-14,42701
2021-03-15,33654
2021-03-16,37207
2021-03-17,46474
2021-03-18,22081
2021-03-19,42782
2021-03-20,63751
2021-03-21,67574
2021-03-22,55152
2021-03-23,60481
2021-03-24,32136
2021-03-25,63448
2021-03-26,70151
2021-03-27,83056
2021-03-28,24719
2021-03-29,51440
2021-03-30,64189
2021-03-31,44443
2021-04-01,44584
2021-04-02,41839
2021-04-03,59957
2021-04-04,62065
2021-04-05,66685
2021-04-06,74740
2021-04-07,76355
2021-04-08,79962
2021-04-09,66930
2021-04-10,85961
2021-04-11,19740
2021-04-12,32894
2021-04-13,77038
2021-04-14,78486
2021-04-15,32416
2021-04-16,58174
2021-04-17,76009
2021-04-18,79148
2021-04-19,71563
2021-04-20,94112
2021-04-21,60480
2021-04-22,55880
2021-04-23,81095
2021-04-24,102035
2021-04-25,57213
2021-04-26,70166
2021-04-27,78068
2021-04-28,94511
2021-04-29,69137
2021-04-30,79010
2021-05-01,90938
2021-05-02,92097
2021-05-03,59585
2021-05-04,85188
2021-05-05,48723
2021-05-06,91450
2021-05-07,89441
2021-05-08,58543
2021-05-09,52231
2021-05-10,69713
2021-05-11,87329
2021-05-12,92970
2021-05-13,98807
2021-05-14,105387
2021-05-15,116722
2021-05-16,95318
2021-05-17,93392
2021-05-18,103917
2021-05-19,107801
2021-05-20,106161
2021-05-21,110718
2021-05-22,114376
2021-05-23,105311
2021-05-24,87516
2021-05-25,104871
2021-05-26,95984
2021-05-27,110364
2021-05-28,61524
2021-05-29,29320
2021-05-30,17301
2021-05-31,87198
2021-06-01,97499
2021-06-02,104458
2021-06-03,68556
2021-06-04,84810
2021-06-05,118830
2021-06-06,103958
2021-06-07,96161
2021-06-08,73315
2021-06-09,109923
2021-06-10,118861
2021-06-11,105953
2021-06-12,114680
2021-06-13,100470
2021-06-14,82673
2021-06-15,116790
2021-06-16,119841
2021-06-17,119097
2021-06-18,120888
2021-06-19,105395
2021-06-20,105539
2021-06-21,99946
2021-06-22,74156
2021-06-23,120897
2021-06-24,118454
2021-06-25,114431
2021-06-26,116784
2021-06-27,108008
2021-06-28,96794
2021-06-29,101368
2021-06-30,94870
2021-07-01,66593
2021-07-02,76527
2021-07-03,66833
2021-07-04,99390
2021-07-05,95815
2021-07-06,75832
2021-07-07,100924
2021-07-08,73526
2021-07-09,84567
2021-07-10,107192
2021-07-11,101400
2021-07-12,86168
2021-07-13,103356
2021-07-14,108264
2021-07-15,110189
2021-07-16,106098
2021-07-17,80605
2021-07-18,97820
2021-07-19,100575
2021-07-20,109422
2021-07-21,106522
2021-07-22,116020
2021-07-23,110258
2021-07-24,122729
2021-07-25,96144
2021-07-26,96799
2021-07-27,104088
2021-07-28,110441
2021-07-29,74707
2021-07-30,113532
2021-07-31,119518
2021-08-01,92758
2021-08-02,101256
2021-08-03,106941
2021-08-04,107251
2021-08-05,107390
2021-08-06,107416
2021-08-07,113136
2021-08-08,73974
2021-08-09,94643
2021-08-10,90881
2021-08-11,96184
2021-08-12,97894
2021-08-13,97015
2021-08-14,109557
2021-08-15,106329
2021-08-16,100238
2021-08-17,105364
2021-08-18,104572
2021-08-19,102919
2021-08-20,99845
2021-08-21,94626
2021-08-22,15466
2021-08-23,74957
2021-08-24,107065
2021-08-25,104701
2021-08-26,101707
2021-08-27,86858
2021-08-28,102216
2021-08-29,100391
2021-08-30,99082
2021-08-31,109917
2021-09-01,49758
2021-09-02,123935
2021-09-03,112840
2021-09-04,107150
2021-09-05,85730
2021-09-06,104270
2021-09-07,104972
2021-09-08,111066
2021-09-09,76186
2021-09-10,124205
2021-09-11,131085
2021-09-12,114992
2021-09-13,104091
2021-09-14,116425
2021-09-15,116304
2021-09-16,107530
2021-09-17,110024
2021-09-18,122392
2021-09-19,114278
2021-09-20,107102
2021-09-21,111253
2021-09-22,111466
2021-09-23,85062
2021-09-24,113819
2021-09-25,122999
2021-09-26,111316
2021-09-27,104803
2021-09-28,94856
2021-09-29,109270
2021-09-30,110639
2021-10-01,113653
2021-10-02,117995
2021-10-03,106361
2021-10-04,72165
2021-10-05,102021
2021-10-06,108685
2021-10-07,113291
2021-10-08,113674
2021-10-09,105945
2021-10-10,67916
2021-10-11,95100
2021-10-12,106156
2021-10-13,107830
2021-10-14,114136
2021-10-15,116244
2021-10-16,97206
